Grupo de,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,Total,,,,,
edad,,,,,,,
(años),Confirmados,Hospitalizados totales,UCI,,,,Fallecidos
,n,n % n,%,,,n,% Letalidad(%)
0-9,207,"65 0,3 3","0,2",,,0,"0,0 0,0"
10-19,360,"47 0,2 2","0,1",,,1,"0,0 0,3"
20-29,2.802,"444 2,0 22","1,3",,,6,"0,2 0,2"
30-39,5.168,"1.070 4,8 60","3,6",,,10,"0,4 0,2"
40-49,7.731,"2.204 9,8 134","7,9",,,35,"1,3 0,5"
50-59,9.135,"3.350 14,9 286","16,9",,,74,"2,7 0,8"
60-69,8.495,"4.459 19,9 519","30,7",,,225,"8,2 2,6"
70-79,8.416,"5.729 25,5 597","35,4",,,749,"27,4 8,9"
80-89,6.117,"4.054 18,1 62","3,7",,,1.195,"43,7 19,5"
90 y +,1.804,"1.014 4,5 3","0,2",,,438,"16,0 24,3"
Total,50.235,22.436 100% 1.688,100%,,,2.733,100%
,,,,,,,
,,,,,,,
Grupo de,,,,,,,
,,Mujeres,,,,,
edad,,,,,,,
(años),Confirmados,Hospitalizados totales,UCI,,,,Fallecidos
,n,n % n,%,,,n,% Letalidad(%)
0-9,96,"26 0,3 1","0,2",,,0,"0,0 0,0"
10-19,195,"25 0,3 1","0,2",,,1,"0,1 0,5"
20-29,1.693,"218 2,4 9","1,9",,,0,"0,0 0,0"
30-39,2.957,"486 5,3 18","3,8",,,5,"0,5 0,2"
40-49,4.143,"886 9,7 38","8,0",,,16,"1,6 0,4"
50-59,4.751,"1.293 14,1 83","17,5",,,18,"1,8 0,4"
60-69,3.903,"1.804 19,7 146","30,7",,,75,"7,4 1,9"
70-79,3.422,"2.176 23,8 155","32,6",,,213,"21,1 6,2"
80-89,2.820,"1.699 18,6 24","5,1",,,467,"46,2 16,6"
90 y +,1.074,"544 5,9 0","0,0",,,215,"21,3 20,0"
Total,25.054,9.157 100% 475,100%,,,1.010,100%
,,,,,,,
Grupo de,,,,,,,
,,Hombres,,,,,
edad,,,,,,,
(años),Confirmados,Hospitalizados totales,UCI,,,,Fallecidos
,n,n % n,%,,,n,% Letalidad(%)
0-9,110,"39 0,3 2","0,2",,,0,"0,0 0,0"
10-19,162,"22 0,2 1","0,1",,,0,"0,0 0,0"
20-29,1.106,"224 1,7 13","1,1",,,6,"0,4 0,5"
30-39,2.210,"584 4,4 42","3,5",,,5,"0,3 0,2"
40-49,3.586,"1.317 9,9 96","7,9",,,19,"1,1 0,5"
50-59,4.382,"2.056 15,5 202","16,7",,,55,"3,2 1,3"
60-69,4.589,"2.654 20,0 373","30,8",,,150,"8,8 3,3"
70-79,4.994,"3.551 26,8 442","36,5",,,541,"31,6 10,8"
80-89,3.297,"2.355 17,7 38","3,1",,,720,"42,0 21,8"
90 y +,730,"470 3,5 3","0,2",,,218,"12,7 29,9"
Total,25.166,13.272 100% 1.212,100%,,,1.714,100%
